insecticide,genotype,washes,concentration,mortality,knockdown
net_deltamethrin,local,0,,95,100
net_deltamethrin,local,5,,87,100
net_deltamethrin,local,10,,83,100
net_deltamethrin,local,15,,73,100
net_deltamethrin,local,20,,62,100
net_deltamethrin,local,25,,52,95
net_deltamethrin,local,30,,48,95.5
net_deltamethrin,local,35,,31,95
,,,,,
net_deltamethrin,susceptible,0,,100,100
net_deltamethrin,susceptible,5,,100,100
net_deltamethrin,susceptible,10,,100,100
net_deltamethrin,susceptible,15,,100,100
net_deltamethrin,susceptible,20,,100,100
net_deltamethrin,susceptible,25,,100,100
net_deltamethrin,susceptible,30,,100,100
net_deltamethrin,susceptible,35,,100,100
,,,,,
soln_deltamethrin,local,,0.001,19,
soln_deltamethrin,local,,0.005,49,
soln_deltamethrin,local,,0.01,56,
soln_deltamethrin,local,,0.05,59,
soln_deltamethrin,local,,0.1,97,
soln_deltamethrin,local,,0.5,100,
,,,,,
soln_deltamethrin,susceptible,,0.001,100,
soln_deltamethrin,susceptible,,0.005,100,
soln_deltamethrin,susceptible,,0.01,100,
soln_deltamethrin,susceptible,,0.05,100,
soln_deltamethrin,susceptible,,0.1,100,
soln_deltamethrin,susceptible,,0.5,100,
,,,,,
Data from Etang2016 parasites and vectors,,,,,
