insecticide,genotype,weeks-auto,weeks,viability
dieldrin,RR,4.966292135,5,1.001470889
dieldrin,RR,8.02247191,8,1.002363928
dieldrin,RR,11.07865169,11,1.00033489
dieldrin,RR,13.01123596,13,1.006743762
dieldrin,RR,16.02247191,16,1.007623668
dieldrin,RR,19.16853933,19,0.996854662
dieldrin,RR,22.17977528,22,0.997734569
dieldrin,RR,25.14606742,25,1.004445498
dieldrin,RR,30.04494382,30,1.008799066
,,,,
dieldrin,SR,5.056179775,5,0.259289362
dieldrin,SR,8.06741573,8,0.832896542
dieldrin,SR,11.12359551,11,0.632166205
dieldrin,SR,13.05617978,13,0.910328323
dieldrin,SR,16.02247191,16,0.960870422
dieldrin,SR,19.16853933,19,0.754322195
dieldrin,SR,22.08988764,22,0.88959142
dieldrin,SR,25.14606742,25,0.764835109
dieldrin,SR,30.08988764,30,0.926994017
,,,,
dieldrin,SS,5.011235955,5,0.01966584
dieldrin,SS,8.06741573,8,0.087766672
dieldrin,SS,11.03370787,11,0.141230848
dieldrin,SS,12.92134831,13,0.588860353
dieldrin,SS,16.02247191,16,0.63944185
dieldrin,SS,18.98876404,19,0.409464468
dieldrin,SS,22.04494382,22,0.804838027
dieldrin,SS,25.1011236,25,0.726834963
dieldrin,SS,30.04494382,30,0.739967897
,,,,
diazinon,RR,5.09057971,5,0.986596556
diazinon,RR,8.125,8,0.987305901
diazinon,RR,11.11413043,11,0.990926736
diazinon,RR,13.01630435,13,0.9913714
diazinon,RR,16.09601449,16,0.995013411
diazinon,RR,19.13043478,19,0.986956522
diazinon,RR,22.21014493,22,0.949689441
diazinon,RR,25.28985507,25,0.924110672
diazinon,RR,30.18115942,30,0.884345003
,,,,
diazinon,SR,4.954710145,5,0.118707651
diazinon,SR,8.03442029,8,0.353193817
diazinon,SR,11.02355072,11,0.672399068
diazinon,SR,13.01630435,13,0.675786985
diazinon,SR,16.00543478,16,0.714472756
diazinon,SR,19.13043478,19,0.68013834
diazinon,SR,22.21014493,22,0.987676454
diazinon,SR,25.15398551,25,0.991286702
diazinon,SR,30.22644928,30,0.992472473
,,,,
diazinon,SS,4.90942029,5,0.022268492
diazinon,SS,7.989130435,8,0.40870271
diazinon,SS,11.02355072,11,0.511684783
diazinon,SS,12.97101449,13,0.555971203
diazinon,SS,15.96014493,16,0.647254376
diazinon,SS,19.03985507,19,0.542779503
diazinon,SS,22.11956522,22,0.625317617
diazinon,SS,25.0634058,25,0.780875918
diazinon,SS,30.13586957,30,0.79375
,,,,
"These data were digitised from McKenzie & Whitton 1982 Selection for insecticide resistance in the Australian sheep blowfly,",,,,
Using this web tool : https://apps.automeris.io/wpd/,,,,
